Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIHPP,"1347 Property Insurance Holdings, Inc.",24.5545,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
FCCY,1st Constitution Bancorp (NJ),19.78,166236895.8,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,48.36,1255671124,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
AAON,"AAON, Inc.",37.95,1976987679,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ACTG,Acacia Research Corporation,3.18,157853034.4,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ANCX,Access National Corporation,26.44,549884392.9,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx
ACET,Aceto Corporation,1.62,49840335.18,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
ACNB,ACNB Corporation,36.09,254029137.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ATVI,"Activision Blizzard, Inc",49.88,38060969814,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ADAP,Adaptimmune Therapeutics plc,6.16,471513306.9,76544368,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADTN,"ADTRAN, Inc.",12.45,593245550.3,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADES,"Advanced Emissions Solutions, Inc.",10.77,214491345.9,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AGYS,"Agilysys, Inc.",16.49,387981848.4,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGNC,AGNC Investment Corp.,17.7,9238144628,n/a,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.59,8865657624,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.64,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AIRT,"Air T, Inc.",30.12,61553442.84,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ALSK,"Alaska Communications Systems Group, Inc.",1.5,79778217,n/a,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ABDC,Alcentra Capital Corp.,6.49,87808252.73,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ALCO,"Alico, Inc.",33.05,271008578.9,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGT,Allegiant Travel Company,134.41,2172040869,n/a,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ARLP,"Alliance Resource Partners, L.P.",19.65,2558033443,n/a,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
AMOT,"Allied Motion Technologies, Inc.",47.31,448327632.4,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
MDRX,"Allscripts Healthcare Solutions, Inc.",10.21,1783832053,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
ALT,"Altimmune, Inc.",3.59,31431383.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
AIMC,Altra Industrial Motion Corp.,31.55,2033103959,n/a,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
AMAL,Amalgamated Bank,21.36,678641055.6,n/a,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal
AMRK,"A-Mark Precious Metals, Inc.",12.11,85150859.5,n/a,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
DOX,Amdocs Limited,64.91,9181130040,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
ATAX,"America First Multifamily Investors, L.P.",5.59,338308259,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",13.36,44115141762,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",40.16,18496951554,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AFIN,"American Finance Trust, Inc.",13.84,1468748437,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin
AMNB,"American National Bankshares, Inc.",36.03,313980948.9,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,127.61,3430852147,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
ARII,"American Railcar Industries, Inc.",70.27,1341024107,n/a,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,14.82,86916365.64,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",10.4,321425842.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMWD,American Woodmark Corporation,66.89,1176879918,n/a,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
ABCB,Ameris Bancorp,42.83,2035224293,n/a,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",64.59,1244648008,n/a,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,4.29,77327644.68,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,28.7,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,27.46,255677671,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,208.25,1.33E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
ADI,"Analog Devices, Inc.",91.92,34025066112,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
APOG,"Apogee Enterprises, Inc.",36.45,1027248006,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/apog
AINV,Apollo Investment Corporation,5.25,123418391.3,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/ainv
AAPL,Apple Inc.,178.58,8.47E+11,n/a,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
AMAT,"Applied Materials, Inc.",37.28,36645886623,n/a,1972,Technology,Semiconductors,https://www.nasdaq.com/symbol/amat
AQB,"AquaBounty Technologies, Inc.",2.49,37596104.13,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aqb
ARCB,ArcBest Corporation,40.26,1034284151,n/a,n/a,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/arcb
ACGLO,Arch Capital Group Ltd.,21.7,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,21.12,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp
ARCC,Ares Capital Corporation,17.04,7264121328,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/arcc
ARKR,Ark Restaurants Corp.,22.03,76448087.43,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arkr
AROW,Arrow Financial Corporation,34.77,501955297,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/arow
ARTNA,Artesian Resources Corporation,36.36,336026466.7,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/artna
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.39,10039113.74,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/artw
APWC,Asia Pacific Wire & Cable Corporation Limited,2.2573,31195138.83,n/a,n/a,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/apwc
ASML,ASML Holding N.V.,171.35,12407889243,72412543,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asml
